Level,Greek,Natural English Translation
A2-Bridge,Έκλεισα ένα δωμάτιο με θέα στη θάλασσα πριν από λίγες μέρες.,I booked a room with a view of the sea a few days ago.
A2-Bridge,Έκλεισα ένα δωμάτιο με θέα στη θάλασσα σήμερα το απόγευμα.,I booked a room with a view of the sea this afternoon.
A2-Bridge,Σκέφτομαι να αλλάξω δουλειά τον επόμενο μήνα χθες το βράδυ.,I am thinking of changing jobs next month last night.
A2-Bridge,Σκέφτομαι να αλλάξω δουλειά τον επόμενο μήνα νωρίς το πρωί.,I am thinking of changing jobs next month early in the morning.
A2-Bridge,Σκέφτομαι να αλλάξω δουλειά τον επόμενο μήνα την περασμένη εβδομάδα.,I am thinking of changing jobs next month last week.
A2-Bridge,Σκέφτομαι να αλλάξω δουλειά τον επόμενο μήνα πριν από λίγες μέρες.,I am thinking of changing jobs next month a few days ago.
A2-Bridge,Σκέφτομαι να αλλάξω δουλειά τον επόμενο μήνα σήμερα το απόγευμα.,I am thinking of changing jobs next month this afternoon.
A2-Bridge,Μου πρότειναν να συμμετάσχω στο σεμινάριο χθες το βράδυ.,They suggested that I participate in the seminar last night.
A2-Bridge,Μου πρότειναν να συμμετάσχω στο σεμινάριο νωρίς το πρωί.,They suggested that I participate in the seminar early in the morning.
A2-Bridge,Μου πρότειναν να συμμετάσχω στο σεμινάριο την περασμένη εβδομάδα.,They suggested that I participate in the seminar last week.
A2-Bridge,Μου πρότειναν να συμμετάσχω στο σεμινάριο πριν από λίγες μέρες.,They suggested that I participate in the seminar a few days ago.
A2-Bridge,Μου πρότειναν να συμμετάσχω στο σεμινάριο σήμερα το απόγευμα.,They suggested that I participate in the seminar this afternoon.
A2-Bridge,Η πτήση καθυστέρησε λόγω κακοκαιρίας χθες το βράδυ.,The flight was delayed due to bad weather last night.
A2-Bridge,Η πτήση καθυστέρησε λόγω κακοκαιρίας νωρίς το πρωί.,The flight was delayed due to bad weather early in the morning.
A2-Bridge,Η πτήση καθυστέρησε λόγω κακοκαιρίας την περασμένη εβδομάδα.,The flight was delayed due to bad weather last week.
A2-Bridge,Η πτήση καθυστέρησε λόγω κακοκαιρίας πριν από λίγες μέρες.,The flight was delayed due to bad weather a few days ago.
A2-Bridge,Η πτήση καθυστέρησε λόγω κακοκαιρίας σήμερα το απόγευμα.,The flight was delayed due to bad weather this afternoon.
A2-Bridge,Συνειδητοποίησα ότι είχα ξεχάσει τα κλειδιά μου χθες το βράδυ.,I realized that I had forgotten my keys last night.
A2-Bridge,Συνειδητοποίησα ότι είχα ξεχάσει τα κλειδιά μου νωρίς το πρωί.,I realized that I had forgotten my keys early in the morning.
A2-Bridge,Συνειδητοποίησα ότι είχα ξεχάσει τα κλειδιά μου την περασμένη εβδομάδα.,I realized that I had forgotten my keys last week.
A2-Bridge,Συνειδητοποίησα ότι είχα ξεχάσει τα κλειδιά μου πριν από λίγες μέρες.,I realized that I had forgotten my keys a few days ago.
A2-Bridge,Συνειδητοποίησα ότι είχα ξεχάσει τα κλειδιά μου σήμερα το απόγευμα.,I realized that I had forgotten my keys this afternoon.
A2-Bridge,Πήραμε το μετρό για να φτάσουμε πιο γρήγορα χθες το βράδυ.,We took the metro to arrive faster last night.
A2-Bridge,Πήραμε το μετρό για να φτάσουμε πιο γρήγορα νωρίς το πρωί.,We took the metro to arrive faster early in the morning.
A2-Bridge,Πήραμε το μετρό για να φτάσουμε πιο γρήγορα την περασμένη εβδομάδα.,We took the metro to arrive faster last week.
A2-Bridge,Πήραμε το μετρό για να φτάσουμε πιο γρήγορα πριν από λίγες μέρες.,We took the metro to arrive faster a few days ago.
A2-Bridge,Πήραμε το μετρό για να φτάσουμε πιο γρήγορα σήμερα το απόγευμα.,We took the metro to arrive faster this afternoon.
A2-Bridge,Αγόρασε ένα δώρο για τα γενέθλια της φίλης του χθες το βράδυ.,He bought a gift for his girlfriend's birthday last night.
A2-Bridge,Αγόρασε ένα δώρο για τα γενέθλια της φίλης του νωρίς το πρωί.,He bought a gift for his girlfriend's birthday early in the morning.
A2-Bridge,Αγόρασε ένα δώρο για τα γενέθλια της φίλης του την περασμένη εβδομάδα.,He bought a gift for his girlfriend's birthday last week.
A2-Bridge,Αγόρασε ένα δώρο για τα γενέθλια της φίλης του πριν από λίγες μέρες.,He bought a gift for his girlfriend's birthday a few days ago.
A2-Bridge,Αγόρασε ένα δώρο για τα γενέθλια της φίλης του σήμερα το απόγευμα.,He bought a gift for his girlfriend's birthday this afternoon.
A2-Bridge,Θα εξετάσουμε όλες τις επιλογές πριν αποφασίσουμε χθες το βράδυ.,We will examine all the options before deciding last night.
A2-Bridge,Θα εξετάσουμε όλες τις επιλογές πριν αποφασίσουμε νωρίς το πρωί.,We will examine all the options before deciding early in the morning.
A2-Bridge,Θα εξετάσουμε όλες τις επιλογές πριν αποφασίσουμε την περασμένη εβδομάδα.,We will examine all the options before deciding last week.
A2-Bridge,Θα εξετάσουμε όλες τις επιλογές πριν αποφασίσουμε πριν από λίγες μέρες.,We will examine all the options before deciding a few days ago.
A2-Bridge,Θα εξετάσουμε όλες τις επιλογές πριν αποφασίσουμε σήμερα το απόγευμα.,We will examine all the options before deciding this afternoon.
A2-Bridge,Παρέλαβα το μήνυμα λίγα λεπτά πριν φύγω χθες το βράδυ.,I received the message a few minutes before leaving last night.
A2-Bridge,Παρέλαβα το μήνυμα λίγα λεπτά πριν φύγω νωρίς το πρωί.,I received the message a few minutes before leaving early in the morning.
A2-Bridge,Παρέλαβα το μήνυμα λίγα λεπτά πριν φύγω την περασμένη εβδομάδα.,I received the message a few minutes before leaving last week.
A2-Bridge,Παρέλαβα το μήνυμα λίγα λεπτά πριν φύγω πριν από λίγες μέρες.,I received the message a few minutes before leaving a few days ago.
A2-Bridge,Παρέλαβα το μήνυμα λίγα λεπτά πριν φύγω σήμερα το απόγευμα.,I received the message a few minutes before leaving this afternoon.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο.,I used to go often to the same café when I worked downtown.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες.,He gave me the book he bought yesterday.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα.",The movie I saw was more interesting than I expected.
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό.","When I was young, I used to spend the summers in the village."
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω.,I will send you the documents as soon as I prepare them.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι.,This experience changed the way I think.
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα.","He tried to explain the problem to me, but I didn’t understand it."
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει.,This is the best restaurant I have tried.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο.,I had already left when you called me.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου.,The proposal you made was more reasonable than mine.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας.,They asked me to present the results of the research.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια.,The article I read explains the topic clearly.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά.,I did not remember where I had put the keys.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα.,We will discuss it after we finish the lesson.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία.,The decision we made was difficult but necessary.
A2,Του έστειλα το μήνυμα που μου ζήτησε.,I sent him the message he asked me for.
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις.","The more you study, the more confident you feel."
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι.,I did not understand why he reacted that way.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική.,The solution you propose seems more effective.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο.,We had reserved a table before arriving at the restaurant.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο πριν από λίγο.,I used to go often to the same café when I worked downtown a short while ago.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο την περασμένη χρονιά.,I used to go often to the same café when I worked downtown last year.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο μέχρι τώρα.,I used to go often to the same café when I worked downtown until now.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο στο παρελθόν.,I used to go often to the same café when I worked downtown in the past.
A2,Πήγαινα συχνά στο ίδιο καφέ όταν δούλευα στο κέντρο από τότε.,I used to go often to the same café when I worked downtown since then.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες πριν από λίγο.,He gave me the book he bought yesterday a short while ago.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες την περασμένη χρονιά.,He gave me the book he bought yesterday last year.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες μέχρι τώρα.,He gave me the book he bought yesterday until now.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες στο παρελθόν.,He gave me the book he bought yesterday in the past.
A2,Μου έδωσε το βιβλίο που αγόρασε χθες από τότε.,He gave me the book he bought yesterday since then.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα πριν από λίγο.",The movie I saw was more interesting than I expected a short while ago.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα την περασμένη χρονιά.",The movie I saw was more interesting than I expected last year.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα μέχρι τώρα.",The movie I saw was more interesting than I expected until now.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα στο παρελθόν.",The movie I saw was more interesting than I expected in the past.
A2,"Η ταινία που είδα ήταν πιο ενδιαφέρουσα από ό,τι περίμενα από τότε.",The movie I saw was more interesting than I expected since then.
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό πριν από λίγο.","When I was young, I used to spend the summers in the village a short while ago."
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό την περασμένη χρονιά.","When I was young, I used to spend the summers in the village last year."
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό μέχρι τώρα.","When I was young, I used to spend the summers in the village until now."
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό στο παρελθόν.","When I was young, I used to spend the summers in the village in the past."
A2,"Όταν ήμουν μικρός, περνούσα τα καλοκαίρια στο χωριό από τότε.","When I was young, I used to spend the summers in the village since then."
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω πριν από λίγο.,I will send you the documents as soon as I prepare them a short while ago.
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω την περασμένη χρονιά.,I will send you the documents as soon as I prepare them last year.
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω μέχρι τώρα.,I will send you the documents as soon as I prepare them until now.
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω στο παρελθόν.,I will send you the documents as soon as I prepare them in the past.
A2,Θα σου στείλω τα έγγραφα μόλις τα ετοιμάσω από τότε.,I will send you the documents as soon as I prepare them since then.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι πριν από λίγο.,This experience changed the way I think a short while ago.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι την περασμένη χρονιά.,This experience changed the way I think last year.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι μέχρι τώρα.,This experience changed the way I think until now.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι στο παρελθόν.,This experience changed the way I think in the past.
A2,Η εμπειρία αυτή μου άλλαξε τον τρόπο που σκέφτομαι από τότε.,This experience changed the way I think since then.
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα πριν από λίγο.","He tried to explain the problem to me, but I didn’t understand it a short while ago."
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα την περασμένη χρονιά.","He tried to explain the problem to me, but I didn’t understand it last year."
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα μέχρι τώρα.","He tried to explain the problem to me, but I didn’t understand it until now."
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα στο παρελθόν.","He tried to explain the problem to me, but I didn’t understand it in the past."
A2,"Προσπάθησε να μου εξηγήσει το πρόβλημα, αλλά δεν το κατάλαβα από τότε.","He tried to explain the problem to me, but I didn’t understand it since then."
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει πριν από λίγο.,This is the best restaurant I have tried a short while ago.
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει την περασμένη χρονιά.,This is the best restaurant I have tried last year.
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει μέχρι τώρα.,This is the best restaurant I have tried until now.
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει στο παρελθόν.,This is the best restaurant I have tried in the past.
A2,Αυτό είναι το καλύτερο εστιατόριο που έχω δοκιμάσει από τότε.,This is the best restaurant I have tried since then.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο πριν από λίγο.,I had already left when you called me a short while ago.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο την περασμένη χρονιά.,I had already left when you called me last year.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο μέχρι τώρα.,I had already left when you called me until now.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο στο παρελθόν.,I had already left when you called me in the past.
A2,Είχα ήδη φύγει όταν με πήρες τηλέφωνο από τότε.,I had already left when you called me since then.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου πριν από λίγο.,The proposal you made was more reasonable than mine a short while ago.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου την περασμένη χρονιά.,The proposal you made was more reasonable than mine last year.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου μέχρι τώρα.,The proposal you made was more reasonable than mine until now.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου στο παρελθόν.,The proposal you made was more reasonable than mine in the past.
A2,Η πρόταση που έκανες ήταν πιο λογική από τη δική μου από τότε.,The proposal you made was more reasonable than mine since then.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας πριν από λίγο.,They asked me to present the results of the research a short while ago.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας την περασμένη χρονιά.,They asked me to present the results of the research last year.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας μέχρι τώρα.,They asked me to present the results of the research until now.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας στο παρελθόν.,They asked me to present the results of the research in the past.
A2,Μου ζήτησαν να παρουσιάσω τα αποτελέσματα της έρευνας από τότε.,They asked me to present the results of the research since then.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια πριν από λίγο.,The article I read explains the topic clearly a short while ago.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια την περασμένη χρονιά.,The article I read explains the topic clearly last year.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια μέχρι τώρα.,The article I read explains the topic clearly until now.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια στο παρελθόν.,The article I read explains the topic clearly in the past.
A2,Το άρθρο που διάβασα εξηγεί το θέμα με σαφήνεια από τότε.,The article I read explains the topic clearly since then.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά πριν από λίγο.,I did not remember where I had put the keys a short while ago.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά την περασμένη χρονιά.,I did not remember where I had put the keys last year.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά μέχρι τώρα.,I did not remember where I had put the keys until now.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά στο παρελθόν.,I did not remember where I had put the keys in the past.
A2,Δεν θυμόμουν πού είχα βάλει τα κλειδιά από τότε.,I did not remember where I had put the keys since then.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα πριν από λίγο.,We will discuss it after we finish the lesson a short while ago.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα την περασμένη χρονιά.,We will discuss it after we finish the lesson last year.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα μέχρι τώρα.,We will discuss it after we finish the lesson until now.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα στο παρελθόν.,We will discuss it after we finish the lesson in the past.
A2,Θα το συζητήσουμε αφού τελειώσουμε το μάθημα από τότε.,We will discuss it after we finish the lesson since then.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία πριν από λίγο.,The decision we made was difficult but necessary a short while ago.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία την περασμένη χρονιά.,The decision we made was difficult but necessary last year.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία μέχρι τώρα.,The decision we made was difficult but necessary until now.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία στο παρελθόν.,The decision we made was difficult but necessary in the past.
A2,Η απόφαση που πήραμε ήταν δύσκολη αλλά αναγκαία από τότε.,The decision we made was difficult but necessary since then.
A2,Του έστειλα το μήνυμα που μου ζήτησε πριν από λίγο.,I sent him the message he asked me for a short while ago.
A2,Του έστειλα το μήνυμα που μου ζήτησε την περασμένη χρονιά.,I sent him the message he asked me for last year.
A2,Του έστειλα το μήνυμα που μου ζήτησε μέχρι τώρα.,I sent him the message he asked me for until now.
A2,Του έστειλα το μήνυμα που μου ζήτησε στο παρελθόν.,I sent him the message he asked me for in the past.
A2,Του έστειλα το μήνυμα που μου ζήτησε από τότε.,I sent him the message he asked me for since then.
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις πριν από λίγο.","The more you study, the more confident you feel a short while ago."
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις την περασμένη χρονιά.","The more you study, the more confident you feel last year."
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις μέχρι τώρα.","The more you study, the more confident you feel until now."
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις στο παρελθόν.","The more you study, the more confident you feel in the past."
A2,"Όσο περισσότερο μελετάς, τόσο πιο σίγουρος νιώθεις από τότε.","The more you study, the more confident you feel since then."
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι πριν από λίγο.,I did not understand why he reacted that way a short while ago.
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι την περασμένη χρονιά.,I did not understand why he reacted that way last year.
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι μέχρι τώρα.,I did not understand why he reacted that way until now.
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι στο παρελθόν.,I did not understand why he reacted that way in the past.
A2,Δεν κατάλαβα γιατί αντέδρασε έτσι από τότε.,I did not understand why he reacted that way since then.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική πριν από λίγο.,The solution you propose seems more effective a short while ago.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική την περασμένη χρονιά.,The solution you propose seems more effective last year.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική μέχρι τώρα.,The solution you propose seems more effective until now.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική στο παρελθόν.,The solution you propose seems more effective in the past.
A2,Η λύση που προτείνεις φαίνεται πιο αποτελεσματική από τότε.,The solution you propose seems more effective since then.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο πριν από λίγο.,We had reserved a table before arriving at the restaurant a short while ago.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο την περασμένη χρονιά.,We had reserved a table before arriving at the restaurant last year.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο μέχρι τώρα.,We had reserved a table before arriving at the restaurant until now.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο στο παρελθόν.,We had reserved a table before arriving at the restaurant in the past.
A2,Είχαμε κλείσει τραπέζι πριν φτάσουμε στο εστιατόριο από τότε.,We had reserved a table before arriving at the restaurant since then.
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική.","If I had more time, I would devote myself to music."
B1-Bridge,Νομίζω ότι η απόφαση αυτή ήταν σωστή.,I think that this decision was correct.
B1-Bridge,Φαίνεται ότι το πρόβλημα λύθηκε τελικά.,It seems that the problem was finally solved.
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του.","However, I do not agree with his opinion."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια.","Nevertheless, we continued the effort."
B1-Bridge,Η ευθύνη που ανέλαβε ήταν μεγάλη.,The responsibility he took on was significant.
B1-Bridge,Μου εξήγησε πώς λειτουργεί το σύστημα.,He explained to me how the system works.
B1-Bridge,"Αν το ήξερα, θα σου το έλεγα νωρίτερα.","If I had known, I would have told you earlier."
B1-Bridge,Η πιθανότητα να αποτύχουμε είναι μικρή.,The possibility that we fail is small.
B1-Bridge,Της ζήτησα να μου στείλει τις λεπτομέρειες.,I asked her to send me the details.
B1-Bridge,"Το αποτέλεσμα ήταν καλύτερο από ό,τι περιμέναμε.",The result was better than we expected.
B1-Bridge,Δεν μου το εξήγησαν με σαφήνεια.,They did not explain it to me clearly.
B1-Bridge,Η εμπιστοσύνη που του δείξαμε ήταν σημαντική.,The trust we showed him was important.
B1-Bridge,"Αν και ήταν κουρασμένη, ολοκλήρωσε το έργο.","Although she was tired, she completed the project."
B1-Bridge,Η πρόοδος που σημειώσαμε ήταν εντυπωσιακή.,The progress we made was impressive.
B1-Bridge,Θα το εξετάσουμε μόλις λάβουμε απάντηση.,We will examine it once we receive a response.
B1-Bridge,Η συμπεριφορά του προκάλεσε ανησυχία.,His behavior caused concern.
B1-Bridge,Μας ενημέρωσαν ότι η διαδικασία άλλαξε.,They informed us that the procedure changed.
B1-Bridge,Η εμπειρία αυτή ενίσχυσε την αυτοπεποίθησή μου.,This experience strengthened my self-confidence.
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας.","If we continue like this, we will achieve our goal."
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική, για τον λόγο αυτό.","If I had more time, I would devote myself to music, for this reason."
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική, σε αυτή την περίπτωση.","If I had more time, I would devote myself to music, in this case."
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική, με αυτόν τον τρόπο.","If I had more time, I would devote myself to music, in this way."
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική, χωρίς αμφιβολία.","If I had more time, I would devote myself to music, without a doubt."
B1-Bridge,"Αν είχα περισσότερο χρόνο, θα ασχολιόμουν με τη μουσική, κατά τη γνώμη μου.","If I had more time, I would devote myself to music, in my opinion."
B1-Bridge,"Νομίζω ότι η απόφαση αυτή ήταν σωστή, για τον λόγο αυτό.","I think that this decision was correct, for this reason."
B1-Bridge,"Νομίζω ότι η απόφαση αυτή ήταν σωστή, σε αυτή την περίπτωση.","I think that this decision was correct, in this case."
B1-Bridge,"Νομίζω ότι η απόφαση αυτή ήταν σωστή, με αυτόν τον τρόπο.","I think that this decision was correct, in this way."
B1-Bridge,"Νομίζω ότι η απόφαση αυτή ήταν σωστή, χωρίς αμφιβολία.","I think that this decision was correct, without a doubt."
B1-Bridge,"Νομίζω ότι η απόφαση αυτή ήταν σωστή, κατά τη γνώμη μου.","I think that this decision was correct, in my opinion."
B1-Bridge,"Φαίνεται ότι το πρόβλημα λύθηκε τελικά, για τον λόγο αυτό.","It seems that the problem was finally solved, for this reason."
B1-Bridge,"Φαίνεται ότι το πρόβλημα λύθηκε τελικά, σε αυτή την περίπτωση.","It seems that the problem was finally solved, in this case."
B1-Bridge,"Φαίνεται ότι το πρόβλημα λύθηκε τελικά, με αυτόν τον τρόπο.","It seems that the problem was finally solved, in this way."
B1-Bridge,"Φαίνεται ότι το πρόβλημα λύθηκε τελικά, χωρίς αμφιβολία.","It seems that the problem was finally solved, without a doubt."
B1-Bridge,"Φαίνεται ότι το πρόβλημα λύθηκε τελικά, κατά τη γνώμη μου.","It seems that the problem was finally solved, in my opinion."
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του, για τον λόγο αυτό.","However, I do not agree with his opinion, for this reason."
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του, σε αυτή την περίπτωση.","However, I do not agree with his opinion, in this case."
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του, με αυτόν τον τρόπο.","However, I do not agree with his opinion, in this way."
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του, χωρίς αμφιβολία.","However, I do not agree with his opinion, without a doubt."
B1-Bridge,"Ωστόσο, δεν συμφωνώ με την άποψή του, κατά τη γνώμη μου.","However, I do not agree with his opinion, in my opinion."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια, για τον λόγο αυτό.","Nevertheless, we continued the effort, for this reason."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια, σε αυτή την περίπτωση.","Nevertheless, we continued the effort, in this case."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια, με αυτόν τον τρόπο.","Nevertheless, we continued the effort, in this way."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια, χωρίς αμφιβολία.","Nevertheless, we continued the effort, without a doubt."
B1-Bridge,"Παρ’ όλα αυτά, συνεχίσαμε την προσπάθεια, κατά τη γνώμη μου.","Nevertheless, we continued the effort, in my opinion."
B1-Bridge,"Η ευθύνη που ανέλαβε ήταν μεγάλη, για τον λόγο αυτό.","The responsibility he took on was significant, for this reason."
B1-Bridge,"Η ευθύνη που ανέλαβε ήταν μεγάλη, σε αυτή την περίπτωση.","The responsibility he took on was significant, in this case."
B1-Bridge,"Η ευθύνη που ανέλαβε ήταν μεγάλη, με αυτόν τον τρόπο.","The responsibility he took on was significant, in this way."
B1-Bridge,"Η ευθύνη που ανέλαβε ήταν μεγάλη, χωρίς αμφιβολία.","The responsibility he took on was significant, without a doubt."
B1-Bridge,"Η ευθύνη που ανέλαβε ήταν μεγάλη, κατά τη γνώμη μου.","The responsibility he took on was significant, in my opinion."
B1-Bridge,"Μου εξήγησε πώς λειτουργεί το σύστημα, για τον λόγο αυτό.","He explained to me how the system works, for this reason."
B1-Bridge,"Μου εξήγησε πώς λειτουργεί το σύστημα, σε αυτή την περίπτωση.","He explained to me how the system works, in this case."
B1-Bridge,"Μου εξήγησε πώς λειτουργεί το σύστημα, με αυτόν τον τρόπο.","He explained to me how the system works, in this way."
B1-Bridge,"Μου εξήγησε πώς λειτουργεί το σύστημα, χωρίς αμφιβολία.","He explained to me how the system works, without a doubt."
B1-Bridge,"Μου εξήγησε πώς λειτουργεί το σύστημα, κατά τη γνώμη μου.","He explained to me how the system works, in my opinion."
B1-Bridge,"Αν το ήξερα, θα σου το έλεγα νωρίτερα, για τον λόγο αυτό.","If I had known, I would have told you earlier, for this reason."
